"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Dog walking--England--Peak District National Park--Guidebooks","general term","016547413","Monograph","Language material ; Still image ; Text","Volume","GBB3A5801","9780957372252","Neudorfer, Seddon","","person","author","Neudorfer, Seddon, author [person]","Countryside dog walks. Peak District - North, Dark Peak area","Countryside dog walks : Peak District - North, Dark Peak area : 20 graded walks with no stiles for your dogs : easy to follow guides and maps ; Peak District - North, Dark Peak area","","","Wales","Graigfechan, Denbighshire","Wet Nose Publishing","2013","","90 pages, colour illustrations, colour maps, 21 cm","796.510942511","YKL.2014.a.854","Guidebook","English",""
"Dog walking--England--Peak District National Park--Guidebooks","general term","016547414","Monograph","Language material ; Still image ; Text","Volume","GBB3A5802","9780957372269","Neudorfer, Seddon","","person","author","Neudorfer, Seddon, author [person]","Countryside dog walks. Peak District - South, White Peak area","Countryside dog walks : Peak District - South, White Peak area : 20 graded walks with no stiles for your dogs : easy to follow guides and maps ; Peak District - South, White Peak area","","","Wales","Graigfechan, Denbighshire","Wet Nose Publishing","2013","","90 pages, colour illustrations, colour maps, 21 cm","796.510942511","YKL.2014.a.852","Guidebook","English",""
"Dog walking--England--South Downs National Park--Guidebooks","general term","017738514","Monograph","Language material ; Still image ; Text","Volume","GBB621582","9780993192302","Neudorfer, Seddon","","person","author","Neudorfer, Seddon, author [person]","Countryside dog walks. South Downs - West Hampshire","South Downs - West Hampshire","","","Wales","Graigfechan","Wet Nose Publishing","2015","","1 volume, colour illustrations, 21 cm","796.51094226","","Guidebook","English",""
"Dog walking--England--South Downs National Park--Guidebooks","general term","019022830","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB9C1432","9781846743689","Gower, Tracey","","person","author","Gower, Tracey, author [person]","The South Downs : a dog walker's guide","","Countryside Books walking guide","","England","Newbury, Berkshire","Countryside","2018","","95 pages, colour illustrations, maps, 21 cm","796.51094226","YKL.2020.a.733","Guidebook","English",""
"Dolgellau (Wales)--Guidebooks","geographical term","015811794","Monograph","Language material ; Text","Volume","GBB1C7898","9781902302898","Burnett, Michael","","person","writer","Burnett, Michael, writer [person]","Walks around Coed y Brenin : near Dolgellau in the Snowdonia National Park","","","","Wales","Machynlleth","Kittiwake","2011","","40 pages, illustrations, maps, 21 cm","914.2925048612","YK.2012.a.13404","Guidebook","English","Cover title"
"Dovey Forest ---Maps--1979 (1983)","geographical term","005001791","Monograph","Cartographic image ; Cartographic material","Sheet","","","Great Britain, Ordnance Survey","","organisation","","Great Britain, Ordnance Survey [organisation]","Snowdonia National Park, Dovey Forest","Snowdonia National Park, Cadair Idris","Ordnance Survey 1:25 000 outdoor leisure map","","England","Southampton","Ordnance Survey","1983","Edition, A","2 maps on 1 sheet, both sides colour, 84 x 104 cm and 104 x 85 cm","","Maps 6915. (6.)","Map","English",""
"Dovey Forest ---Maps--1979","geographical term","005016346","Monograph","Cartographic image ; Cartographic material","Sheet","","","Great Britain, Ordnance Survey","","organisation","","Great Britain, Ordnance Survey [organisation]","Snowdonia National Park, Dovey Forest","Snowdonia National Park, Cader Idris","Ordnance Survey [1:25 000] outdoor leisure map","","England","Southampton","Ordnance Survey","1979","Edition, A","1 map, 104 x 84 cm","","Maps 6915. (3.)","Map","English",""
"Drainage basins--Management","general term","008803999","Monograph","Language material ; Text","Volume","GB9361114","9780948119170","Broads Authority","","organisation","","Broads Authority [organisation]","No easy answers : draft Broads plan 1993","","","","England","Norwich","Broads Authority","1993","","158 pages, illustrations, 30 cm","307.12 ; 333.916 ; 577","OP-LG/7429 ; YK.1996.b.5922","","English",""
"Duddon Valley (England)--Antiquities","geographical term","015554940","Monograph","Language material ; Text","Volume","GBB139182","9780956412003","","","","","Lake District National Park Authority [organisation] ; Duddon Valley Local History Group [organisation]","Ring Cairns to Reservoirs : archaeological discoveries in the Duddon Valley, Cumbria","","","","England","Kendal","Duddon Valley Local History Group ; Lake District National Park Authority","2009","","ix, 149 pages, illustrations (some colour), maps, 21 cm","936.24278","YC.2011.a.2293","","English",""
"Dwellings--Environmental aspects--England--Broads, The","general term","015963258","Monograph","Language material ; Text","Volume","GBB283534","9780956960603","Holmes, David","1951-","person","","How Hill Trust [organisation] ; Holmes, David, 1951- [person]","How Hill : heart of the Norfolk Broads","","","","England","Ludham","How Hill Trust","2011","","145 pages, illustrations (some colour), 24 cm","728.0942617","YK.2012.a.16764","","English",""
"Dyfed (Wales)","general term","007236333","Monograph","Language material ; Text","Volume","GB9473335","","John, Brian Stephen","","person","","Pembrokeshire Coast National Park Authority [organisation] ; John, Brian Stephen [person]","Four circular walks around Manorbier","","","","Wales","Haverfordwest","Pembrokeshire Coast National Park Authority","1993","","19 pages, illustrations, maps, 21 cm","796.510942963","YK.1995.a.1239","","English",""
"Dyfed (Wales)","general term","007236334","Monograph","Language material ; Text","Volume","GB9473336","","John, Brian Stephen","","person","","Pembrokeshire Coast National Park Authority [organisation] ; John, Brian Stephen [person]","Three circular walks around Marloes & St Brides","","","","Wales","Haverfordwest","Pembrokeshire Coast National Park Authority","1994","","16 pages, illustrations, maps, 21 cm","914.2962","YK.1995.a.1671","","English",""
"Dyfed (Wales)","general term","007236335","Monograph","Language material ; Text","Volume","GB9473337","","John, Brian Stephen","","person","","Pembrokeshire Coast National Park Authority [organisation] ; John, Brian Stephen [person]","Three circular walks around Dale and St Ishmael's","","","","Wales","Haverfordwest","Pembrokeshire Coast National Park Authority","1994","","16 pages, illustrations, maps, 21 cm","796.510942962","YK.1995.a.1238","","English",""
"Dyfed (Wales)","general term","007236336","Monograph","Language material ; Text","Volume","GB9473338","","Price, Norman","1936-","person","","Price, Norman, 1936- [person] ; Pembrokeshire Coast National Park Authority [organisation]","Four circular walks around the Daugleddau Estuary","","","","Wales","Haverfordwest","Pembrokeshire Coast National Park Authority","1994","","20 pages, illustrations, maps, 21 cm","914.2963","YK.1995.a.4200","","English",""
"Dyfed (Wales)","general term","010112717","Monograph","Language material ; Text","Volume","GB9421072","9780860750895","Ellis-Gruffydd, Dyfed","","person","","Pembrokeshire Coast National Park Authority [organisation] ; Ellis-Gruffydd, Dyfed [person]","Rocks and scenery of the Pembrokeshire coast","","","","Wales","Haverfordwest","Pembrokeshire Coast National Park","1993","","24 pages, colour illustrations, maps, 21 cm","554.296","YK.1995.a.3234","","English",""
"Dyfed (Wales)","general term","012486839","Monograph","Language material ; Text","Volume","GB9354125","","","","","","Pembrokeshire Coast National Park Authority [organisation]","Pembrokeshire beaches : the official guide of the Pembrokeshire Coast National Park Authority","","","","Wales","Haverfordwest","Pembrokeshire Coast National Park","1993","","32 pages, colour illustrations, map, 21 cm","914.296204859","YK.1994.a.17556","","English",""
"Dyfed--Carew--Walkers' guides","general term","007063843","Monograph","Language material ; Text","Volume","GB8752549","","","","","","Pembrokeshire Coast National Park Committee [organisation]","A walk around Carew","","Pembrokeshire Coast National Park walk series","","Wales","County Offices, Haverfordwest, Dyfed ; Haverfordwest","Pembrokeshire Coast National Park Committee","1981","","8 pages, illustrations, 1 map, 21 cm","914.2962","","Guidebook","English",""
"Dyfed--Cosheston--Castles--Upton Castle--Grounds--Visitors' guides","general term","007064594","Monograph","Language material ; Text","Volume","GB8821034","","","","","","Pembrokeshire Coast National Park Committee [organisation]","Upton Castle grounds","","Pembrokeshire Coast National Park. Walk series","","Wales","Haverfordwest ; Pembrokeshire Coast National Park Department, County Offices, Haverfordwest, Dyfed","Pembrokeshire Coast National Park Committee","1981","","16 pages, illustrations, maps, 21 cm","914.2962","","","English",""
"Dyfed--Dale Peninsula--Long-distance footpaths--Pembrokeshire Coast Path--Walkers' guides","general term","007063594","Monograph","Language material ; Text","Volume","GB8747155","","","","","","Pembrokeshire Coast National Park Committee [organisation]","Taith gerdded o gwmpas Penrhyn Dewi","","Parc Cenedlaethol Arfordir Penfro. Cyfres gerdded","","Wales","Hwlffordd ; Information Officer, County Offices, Haverfordwest, Dyfed","Pwyllgor Parc Cenedlaethol Arfordir Penfro","1981","","12 pages, illustrations, 1 map, 20 cm","914.2962","","","Welsh",""
"Dyfed--Dale Peninsula--Long-distance footpaths--Pembrokeshire Coast Path--Walkers' guides","general term","010112698","Monograph","Language material ; Text","Volume","GB8214476","9780860750055","Barret, John H. (John Henry)","1913-","person","","Barret, John H. (John Henry), 1913- [person]","A plain man's guide to the path round the Dale Peninsula","","Pembrokeshire Coast National Park area guide","","Wales","Haverfordwest","Pembrokeshire Coast National Park Authority","1981","2nd edition","31 pages, illustrations, colour maps, 21 cm","914.2962","BS.116/185","","English","Previous edition: 1966?"
"Dyfed--Marloes--Wildlife parks--Marloes Deer Park--Visitors' guides","general term","007063841","Monograph","Language material ; Text","Volume","GB8752547","","","","","","Pembrokeshire Coast National Park Committee [organisation]","Deer Park Marloes","","Pembrokeshire Coast National Park walk series","","Wales","County Offices, Haverfordwest, Dyfed ; Haverfordwest","Pembrokeshire Coast National Park Committee","1981","","8 pages, illustrations, maps, 21 cm","590.74442962","","","English",""
"Dyfed--Milford Haven (Estuary)--region","general term","007433115","Monograph","Language material ; Text","Volume","GB8202848","9780905559070","John, Brian Stephen","","person","","Pembrokeshire Coast National Park Authority [organisation] ; John, Brian Stephen [person]","Milford Haven waterway","","Pembrokeshire Coast National Park area guide","","Wales","Newport, Dyfed","Greencroft for the Pembrokeshire Coast National Park Authority","1981","","32 pages, illustrations, maps, 21 cm","914.2962","X.809/49930","","English","Text on inside covers"
