"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"Blamire, Richmond","","person","publisher","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","017707020","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","WINDERMERE LAKE : taken a little below the Ferry, on the side in Westmoreland","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R.d Blamire, April","1792","","1 print, etching and aquatint, platemark 32.6 x 46.6 cm","","1899.t.3","Westmorland (England)--1790-1800 ; Views--England--1790-1800 ; Etchings--England--1790-1800 ; Aquatints--England--1790-1800 ; Lake District National Park (England) ; Cumberland (England)--1790-1800 ; Lakes in art","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Blamire, Richmond","","person","publisher","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","017707126","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","GRASMERE LAKE","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire, Strand, London","1795","","1 print, etching and aquatint, platemark 33.0 x 46.6 cm","","1899.t.3","Westmorland (England)--1790-1800 ; Views--England--1790-1800 ; Etchings--England--1790-1800 ; Aquatints--England--1790-1800 ; Lake District National Park (England) ; Cumberland (England)--1790-1800 ; Lakes in art","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Blamire, Richmond","","person","publisher","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","017707140","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","RYDAL LAKE","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire, Strand, London","1795","","1 print, etching and aquatint, platemark 32.9 x 46.7 cm","","1899.t.3","Westmorland (England)--1790-1800 ; Views--England--1790-1800 ; Etchings--England--1790-1800 ; Aquatints--England--1790-1800 ; Lake District National Park (England) ; Cumberland (England)--1790-1800 ; Lakes in art","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Blamire, Richmond","","person","publisher","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","017707154","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","KESWICK LAKE from CASTLE-RIGG","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","June ; R. Blamire Strand, London","1794","","1 print, etching and aquatint, platemark 32.8 x 46.8 cm","","1899.t.3","Westmorland (England)--1790-1800 ; Views--England--1790-1800 ; Etchings--England--1790-1800 ; Aquatints--England--1790-1800 ; Lake District National Park (England) ; Cumberland (England)--1790-1800 ; Lakes in art","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Blamire, Richmond","","person","publisher","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","017707180","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","POCKLINGTONS ISLAND, KESWICK LAKE","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire Strand, London","1795","","1 print, etching and aquatint, platemark 32.8 x 46.8 cm","","1899.t.3","Westmorland (England)--1790-1800 ; Views--England--1790-1800 ; Etchings--England--1790-1800 ; Aquatints--England--1790-1800 ; Lake District National Park (England) ; Cumberland (England)--1790-1800 ; Lakes in art","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Blamire, Richmond","","person","publisher","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","017707206","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","LOWS WATER","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","June ; R. Blamire Strand, London","1794","","1 print, etching and aquatint, platemark 32.6 x 46.8 cm","","1899.t.3","Westmorland (England)--1790-1800 ; Views--England--1790-1800 ; Etchings--England--1790-1800 ; Aquatints--England--1790-1800 ; Lake District National Park (England) ; Cumberland (England)--1790-1800 ; Lakes in art","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Blamire, Richmond","","person","publisher","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","017707215","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","BROADWATER at the upper-end of PATERDALE","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire Strand, London","1794","","1 print, etching and aquatint, platemark 32.8 x 47.0 cm","","1899.t.3","Westmorland (England)--1790-1800 ; Views--England--1790-1800 ; Etchings--England--1790-1800 ; Aquatints--England--1790-1800 ; Lake District National Park (England) ; Cumberland (England)--1790-1800 ; Lakes in art","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Blamire, Richmond","","person","publisher","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","017707225","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","NEAR CLAPPERSGATE on the RIVER BRATHA","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","June ; R. Blamire Strand, London","1794","","1 print, etching and aquatint, platemark 32.6 x 46.7 cm","","1899.t.3","Westmorland (England)--1790-1800 ; Views--England--1790-1800 ; Etchings--England--1790-1800 ; Aquatints--England--1790-1800 ; Lake District National Park (England) ; Cumberland (England)--1790-1800 ; Lakes in art","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Blamire, Richmond","","person","publisher","Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","017707251","Monograph","Still image ; Two-dimensional nonprojectable graphic","Sheet","","","LOWER CASCADE at RYDAL","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire Strand, London","1795","","1 print, etching and aquatint, platemark 32.9 x 46.7 cm","","1899.t.3","Westmorland (England)--1790-1800 ; Views--England--1790-1800 ; Etchings--England--1790-1800 ; Aquatints--England--1790-1800 ; Lake District National Park (England) ; Cumberland (England)--1790-1800 ; Lakes in art","","English","Bound with the other plates from the series in quarter-bound red morrocco with the coverboard covered in marbled paper. The series was usually bound up with Clarke's Survey of the Lakes (Upcott, p.127; information from David Alexander) - for a copy see 004873747 in the Library's holdings"
"Blamire, Richmond","","person","publisher","Smith, John, 1749-1831 [person] ; Merigot, James, artist ; printmaker [person] ; George, IV, King of Great Britain, 1762-1830 [person] ; Curwen, J. C. (John Christian), 1756-1828 [person] ; Smith, John, 1749-1831, artist [person] ; George, III, King of Great Britain, 1738-1820 [person] ; Blamire, Richmond, publisher [person]","003419612","Monograph","Language material ; Text","Volume","","","Twenty views of the Lake District","","Twenty Views of the Lakes in Cumberland and Westmorland","","England","London","R. Blamire","1791-1795","","20 leaves of plates and four blank end-pages bound into a book, illustrations, 42 x 57 cm (oblong folio)","","1899.t.3","Westmorland (England)--1790-1800 ; Views--England--1790-1800 ; Etchings--England--1790-1800 ; Aquatints--England--1790-1800 ; Lake District National Park (England) ; Cumberland (England)--1790-1800 ; Lakes in art","","English","The plates generally in good condition with some foxing"
